# DE2000               RA2000                HD         Pol      e_Pol                  PA      e_PA   GLON       GLAT       E_B-V_   Vmag   Dist      PolRefs                 
  -65.61309999999999   234.07405499999996    138498.0   0.08     0.035                  117.5   12.3   318.8767   -7.9825    0.1      6.5    89.0      0000000000001000000000  
  -65.6108             185.1615              ""         0.78     0.1                    96.3    3.7    299.757    -2.929     0.2      10.2   3801.9    0000000000000100000000  
  -65.60829999999999   185.58254999999997    107593.0   0.87     0.1                    99.5    3.3    299.9297   -2.9064    0.3      7.7    2259.0    0000000000000100000000  
  -65.6047             297.75455999999997    186786.0   0.05     0.035                  34.9    19.3   330.5748   -30.648    0.0      6.0    91.0      0000000000001000000000  
  -65.577              359.97878999999995    224686.0   0.08     0.2                    86.0    51.3   311.3004   -50.7058   0.0      4.5    64.0      0000000000000000010000  
  -65.54679999999999   181.47344999999999    105071.0   1.782    0.137                  103.2   2.2    298.2376   -3.0911    0.3      6.3    1524.5    0000000000001100000000  
  -65.52619999999999   150.38551499999997    ""         0.76     0.1                    126.2   3.8    286.5135   -8.2253    0.6      10.5   7585.8    0000000000000100000000  
  -65.5217             233.01749999999996    ""         1.24     0.1                    58.3    2.3    318.5732   -7.6525    0.2      10.7   3020.0    0000000000000100000000  
  -65.50619999999999   227.47750499999998    133823.0   1.62     0.1                    55.6    1.8    316.6418   -6.3898    0.3      9.6    2439.5    0000000000000100000000  
  -65.50189999999999   202.47739499999997    117111.0   0.887    0.14500000000000002    78.0    4.7    306.9098   -2.9278    0.4      7.7    1200.0    0000000000000100100000  
  -65.49529999999999   248.93654999999995    148890.0   0.05     0.035                  128.7   19.3   323.5376   -12.0582   0.0      5.5    239.9     0000000000001000000000  
  -65.46809999999999   10.617899999999999    4089.0     0.0080   0.007000000000000001   112.8   23.6   304.4311   -51.634    ""       5.5    32.0      0000000100000000000000  
  -65.4356             185.67931499999997    107667.0   0.66     0.1                    94.8    4.3    299.9502   -2.7303    0.3      8.3    3133.0    0000000000000100000000  
  -65.39769999999999   174.87346499999998    101379.0   0.8      0.030000000000000002   136.2   1.1    295.5316   -3.5649    0.1      5.2    63.0      0000000001000000000000  
  -65.36019999999999   185.43664499999997    ""         0.49     0.1                    98.0    5.8    299.8411   -2.6669    0.3      10.1   4180.0    0000000000000100000000  
  -65.33149999999999   153.49499999999998    ""         1.33     0.1                    138.1   2.2    287.4531   -7.3072    0.2      10.8   6309.6    0000000000000100000000  
  -65.32979999999999   158.62032             91839.0    0.4      0.05                   119.6   3.6    289.2691   -6.1578    0.2      8.4    202.0     0000000001000000000000  
  -65.306              197.02982999999998    113904.0   1.43     0.1                    82.0    2.0    304.6746   -2.4907    0.2      5.5    1345.0    0000000000000000000001  
  -65.26459999999999   197.54407499999996    114169.0   1.35     0.1                    86.7    2.1    304.8922   -2.4643    0.3      9.6    3085.0    0000000000000100000000  
  -65.24399999999999   159.88049999999998    ""         1.38     0.1                    112.7   2.1    289.6865   -5.8222    0.5      10.9   2511.9    0000000000000100000000  
  -65.22399999999999   165.322365            ""         0.8      0.1                    171.8   3.6    291.721    -4.7781    0.4      11.0   5334.0    0000000000000100000000  
  -65.21889999999999   168.067695            97522.0    0.9      0.1                    115.5   3.2    292.78     -4.3204    0.5      7.8    1936.5    0000000000000100000000  
  -65.211              186.23318999999998    108002.0   0.83     0.1                    96.2    3.4    300.1562   -2.4822    0.3      6.9    2153.5    0000000000000100000000  
  -65.20759999999999   217.29299999999998    ""         1.68     0.1                    68.7    1.7    312.9484   -4.2541    0.3      11.1   3020.0    0000000000000100000000  
  -65.19529999999999   160.70173499999999    93012.0    1.34     0.07                   98.6    1.5    289.9662   -5.6139    0.3      9.2    325.0     0000000001000000000000  
  -65.19259999999998   184.00799999999998    106616.0   1.08     0.1                    96.2    2.7    299.2266   -2.5759    0.3      8.0    2654.5    0000000000000100000000  
  -65.1792             203.46817499999997    117707.0   2.193    0.067                  60.2    0.9    307.3692   -2.6737    0.8      9.4    4808.0    0000000000000100100000  
  -65.1763             157.26529499999998    91094.0    0.52     0.060000000000000005   105.1   3.3    288.7      -6.3166    0.1      6.4    194.0     0000000001000000000000  
  -65.1244             9.156645              3444.0     0.058    0.017                  115.8   8.3    305.457    -51.9312   0.1      6.4    114.8     0000000000101000000000  
